date,symbol,actualEarningResult,estimatedEarning
2020-10-26,MEGEF,-0.03,-0.16
2020-10-26,NNDNF,49.04,34.25
2020-10-26,TCF,0.53,0.64
2020-10-26,PETS,0.42,0.4
2020-10-26,GLPEF,-0.03,0.05
2020-10-26,WSBF,1.08,0.55
2020-10-26,HBT,0.38,0.34
2020-10-26,FBASF,0.9,0.31
2020-10-26,FFIV,2.43,2.37
2020-10-26,HTLF,1.23,0.91
2020-10-26,PFG,0.85,1.39
2020-10-26,MEDS,0.02,0.03
2020-10-26,TNET,0.56,0.16
2020-10-26,MEDP,1.09,1.07
2020-10-26,HMST,1.15,0.83
2020-10-26,HSTM,0.08,0.04
2020-10-26,OMF,2.19,1.26
2020-10-26,HAS,1.88,1.63
2020-10-26,HLIT,0.03,-0.05
2020-10-26,HSII,-1.35,-0.38
2020-10-26,HCA,1.92,2.32
2020-10-26,LXFR,0.25,0.19
2020-10-26,NOV,0.02,-0.1
2020-10-26,MNOV,-0.08,-0.12
2020-10-26,VRNS,0.06,-0.13
2020-10-26,TWLO,0.04,-0.02
2020-10-26,QTS,-0.07,-0.02
2020-10-26,KNL,0.23,0.2
2020-10-26,IVAC,-0.02,-0.04
2020-10-26,LRN,0.3,-0.31
2020-10-26,TBI,0.24,0.08
2020-10-26,LBBRF,0.01,0.01
2020-10-26,PREKF,0.04,0.02
2020-10-26,TGB,-0.02,-0.01
2020-10-26,NXPI,1.62,1.54
2020-10-26,PUTKF,342,517.18
2020-10-26,WSR,0.02,0.03
2020-10-27,TWOU,-0.24,-0.25
2020-10-27,MMM,2.43,2.26
2020-10-27,BGFV,1.31,1.1
2020-10-27,ALNPF,-238.1,-247.08
2020-10-27,AFL,1.39,1.14
2020-10-27,AWI,1.07,0.94
2020-10-27,ABG,4.08,3.91
2020-10-27,GPAEF,0.72,0.53
2020-10-27,APAM,0.9,0.88
2020-10-27,ARCC,0.39,0.38
2020-10-27,AGYS,0.29,0.12
2020-10-27,JBLU,-1.75,-1.96
2020-10-27,EMBVF,1.56,1.62
2020-10-27,SWMAF,7.44,8.08
2020-10-27,AVTR,0.24,0.21
2020-10-27,AKAM,1.31,1.23
2020-10-27,TBABF,2.31,2.23
2020-10-27,LLY,1.54,1.71
2020-10-27,ATEN,0.13,0.1
2020-10-27,ALMMF,0.02,0.01
2020-10-27,AMD,0.41,0.36
2020-10-26,FRST,0.38,0.24
2020-10-27,AAT,0.08,0.16
2020-10-27,ACCO,0.19,0.15
2020-10-27,TKGBF,0.45,0.39
2020-10-27,LH,8.41,5.31
2020-10-27,SKUFF,2.59,1.8
2020-10-27,GLPI,0.58,0.53
